"","MUNICIPIO","iteracion","ranking"
"795","Tasquillo","km,20",42
"796","Tasquillo","km,22",42
"797","Tasquillo","km,24",42
"798","Tasquillo","km,26",42
"799","Tecozautla","Km,0",18
"800","Tecozautla","Km,2",41
"801","Tecozautla","Km,4",40
"802","Tecozautla","Km,6",43
"803","Tecozautla","Km,8",44
"804","Tecozautla","km,10",44
"805","Tecozautla","km,12",45
"806","Tecozautla","km,14",45
"807","Tecozautla","km,16",45
"808","Tecozautla","km,18",45
"809","Tecozautla","km,20",45
"810","Tecozautla","km,22",45
"811","Tecozautla","km,24",45
"812","Tecozautla","km,26",45
"813","Tenango De Doria","Km,0",78
"814","Tenango De Doria","Km,2",67
"815","Tenango De Doria","Km,4",64
"816","Tenango De Doria","Km,6",65
"817","Tenango De Doria","Km,8",65
"818","Tenango De Doria","km,10",65
"819","Tenango De Doria","km,12",65
"820","Tenango De Doria","km,14",65
"821","Tenango De Doria","km,16",65
"822","Tenango De Doria","km,18",64
"823","Tenango De Doria","km,20",64
"824","Tenango De Doria","km,22",64
"825","Tenango De Doria","km,24",64
"826","Tenango De Doria","km,26",64
"827","Tepeapulco","Km,0",7
"828","Tepeapulco","Km,2",8
"829","Tepeapulco","Km,4",11
"830","Tepeapulco","Km,6",11
"831","Tepeapulco","Km,8",8
"832","Tepeapulco","km,10",7
"833","Tepeapulco","km,12",6
"834","Tepeapulco","km,14",6
"835","Tepeapulco","km,16",6
"836","Tepeapulco","km,18",6
